glottocode	SAHUL001	SAHUL002	SAHUL003	SAHUL004	SAHUL005	SAHUL006	SAHUL007	SAHUL008	SAHUL009	SAHUL010	SAHUL011	SAHUL012	SAHUL013	SAHUL014	SAHUL015	SAHUL016	SAHUL017	SAHUL018	SAHUL019	SAHUL020
mera1242	NA	NA	1	0	0	0	1	NA	NA	0	0	NA	0	NA	NA	NA	0	NA	NA	0
meri1244	0	NA	1	0	1	0	1	0	0	0	0	0	1	0	0	0	1	1	1	1
meya1236	0	0	1	0	0	0	1	1	0	0	0	0	1	0	0	1	1	1	1	0
mian1256	1	0	1	0	0	0	1	0	0	0	1	0	1	0	0	1	1	1	0	1
moki1238	0	1	1	0	1	0	0	0	0	1	1	0	NA	NA	NA	0	1	0	0	1
mori1268	1	0	1	1	1	0	1	0	0	0	0	0	NA	NA	NA	0	0	0	0	0
motl1237	1	1	1	1	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0
move1241	0	0	1	0	0	0	1	0	0	0	0	0	1	NA	NA	1	1	0	0	0
muna1247	0	0	1	1	1	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0
muss1246	1	0	1	0	1	1	0	0	0	1	1	0	1	NA	NA	0	1	0	0	0
naas1242	NA	NA	1	0	0	0	0	NA	NA	0	0	NA	0	NA	NA	NA	1	NA	NA	0
naba1256	1	0	1	0	0	0	1	0	0	0	0	1	NA	NA	NA	NA	1	0	0	0
naka1262	0	0	1	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0
nali1244	NA	NA	1	0	1	0	1	NA	NA	0	0	NA	0	NA	NA	NA	1	NA	NA	0
nami1256	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	1	0	0	0
narr1259	1	1	0	0	1	0	0	1	1	0	0	0	1	0	1	0	1	1	1	0
ngan1295	0	1	0	0	1	0	0	1	1	1	1	1	NA	NA	NA	0	1	0	1	0
ngge1241	0	0	1	1	0	0	1	0	0	0	0	0	1	0	1	0	1	1	0	0
nort2845	0	0	1	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	1
nots1237	NA	NA	1	0	1	0	1	NA	NA	0	1	NA	0	NA	NA	NA	1	NA	NA	0
nucl1594	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	1	1	0	NA
nucl1622	0	0	1	1	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0
orya1242	1	0	1	0	0	0	1	0	0	0	0	1	0	1	1	0	1	1	1	1
pele1245	NA	NA	1	0	0	1	0	NA	NA	0	0	NA	NA	NA	NA	NA	0	NA	NA	0
pile1238	NA	NA	1	0	0	0	1	NA	NA	0	1	NA	0	NA	NA	NA	1	NA	NA	1
puyu1239	0	0	1	0	1	0	1	0	1	0	0	1	0	0	1	0	1	0	0	1
qaqe1238	NA	NA	1	0	1	0	1	NA	NA	0	0	NA	NA	NA	NA	NA	1	NA	NA	0
ramo1244	NA	NA	1	0	1	0	1	NA	NA	0	0	NA	0	NA	NA	NA	1	NA	NA	0
rawa1267	1	0	1	1	0	0	1	0	0	NA	0	0	1	0	0	0	0	0	0	1
renn1242	0	0	1	1	0	1	0	0	0	0	1	0	0	1	1	0	0	0	0	1
rita1239	1	1	0	0	1	0	0	1	1	0	1	0	NA	NA	NA	0	1	0	1	0
roto1249	0	0	1	0	0	0	1	0	0	0	1	0	0	1	1	0	0	0	0	1
rotu1241	0	NA	1	0	1	0	0	0	0	0	0	1	0	0	1	0	1	NA	NA	1
rovi1238	NA	NA	1	1	1	1	1	NA	NA	0	0	NA	0	NA	NA	NA	0	NA	NA	1
salt1242	1	0	1	0	1	0	1	0	0	0	0	0	1	0	0	1	1	1	0	NA
samo1305	0	0	1	0	1	0	0	0	0	0	1	0	0	1	1	0	0	0	0	1
sapo1253	NA	NA	1	0	0	0	1	NA	NA	0	0	NA	0	NA	NA	NA	1	NA	NA	1
savo1255	NA	NA	1	1	1	1	1	NA	NA	0	0	NA	NA	NA	NA	NA	0	NA	NA	1
sele1250	1	0	1	0	1	1	1	0	0	0	0	0	0	0	1	0	1	0	0	0
siar1238	1	NA	1	0	1	0	1	0	0	0	0	0	0	0	1	0	1	0	0	1
siee1239	1	1	1	0	1	1	0	0	0	0	0	1	0	0	1	0	1	1	1	0
